area_sqft,bedrooms,bathrooms,floors,parking,location,price
631,1,1,2,0,Pune,6064000
2140,3,2,2,0,Bengaluru,22771000
963,2,1,2,1,Pune,9378000
2730,4,4,3,1,Bengaluru,29552000
2549,4,4,2,2,Nashik,15217000
3268,5,4,1,0,Pune,30485000
2735,5,4,2,2,Pune,26627000
1600,2,2,3,1,Nashik,10252000
3403,5,4,1,2,Bengaluru,36833000
1732,2,1,3,0,Pune,16281000
1477,3,2,2,0,Nashik,9096000
3217,4,3,2,0,Nashik,18247000
1611,2,1,1,1,Bengaluru,17368000
729,1,1,3,2,Bengaluru,8455000
1909,3,3,1,0,Pune,18004000
2887,4,3,1,1,Pune,26687000
1068,2,1,2,0,Bengaluru,11430000
1889,2,1,2,2,Pune,17071000
889,1,1,2,2,Bengaluru,10103000
2560,4,3,1,2,Hyderabad,21531000
1927,2,1,1,2,Pune,17530000
1490,3,2,1,1,Bengaluru,16602000
1180,2,2,2,2,Pune,11829000
2194,3,2,2,0,Hyderabad,18150000
2510,3,2,2,2,Pune,23121000
3321,5,4,2,2,Bengaluru,36567000
1811,3,3,3,2,Bengaluru,20755000
982,2,1,2,1,Mumbai,19050000
2998,4,3,2,2,Bengaluru,32723000
2389,3,3,2,1,Hyderabad,20228000
2601,4,3,2,0,Bengaluru,28493000
791,1,1,2,2,Hyderabad,7136000
1437,3,2,1,0,Nashik,8885000
2804,5,4,1,0,Mumbai,53252000
2997,4,3,3,1,Bengaluru,32146000
1806,3,2,2,0,Pune,17176000
2915,4,3,2,2,Hyderabad,24024000
3025,4,3,1,1,Bengaluru,32301000
1662,3,2,2,0,Mumbai,31892000
3195,5,4,2,2,Pune,30418000
1365,3,3,2,1,Nashik,9197000
1218,1,1,2,0,Mumbai,22606000
2548,3,2,2,2,Bengaluru,27142000
2410,3,3,3,1,Pune,22525000
919,1,1,2,0,Nashik,5371000
2999,5,4,3,2,Pune,28661000
1099,2,1,3,1,Pune,10975000
2915,4,4,2,2,Hyderabad,24472000
522,1,1,3,2,Nashik,3848000
2891,4,4,1,1,Pune,26776000
2861,5,4,3,2,Mumbai,54761000
2841,4,4,3,0,Hyderabad,23808000
2495,3,2,2,0,Hyderabad,20175000
1915,3,3,3,1,Mumbai,36511000
2616,4,4,2,2,Bengaluru,28814000
1331,2,1,1,1,Hyderabad,11065000
2842,4,3,3,1,Hyderabad,24208000
2167,3,2,1,2,Hyderabad,18078000
1877,2,1,1,2,Bengaluru,20009000
2017,3,2,2,2,Pune,18570000
2206,4,3,3,0,Nashik,13106000
611,1,1,2,2,Hyderabad,5567000
919,1,1,2,1,Hyderabad,7621000
1236,1,1,1,1,Pune,11651000
843,2,1,1,1,Pune,8274000
1819,3,3,1,0,Hyderabad,15715000
2505,4,3,1,0,Pune,23408000
2463,4,3,3,1,Nashik,14774000
1913,3,3,3,2,Mumbai,36662000
3066,4,3,3,2,Hyderabad,25596000
2196,3,3,1,0,Nashik,13160000
737,2,1,1,2,Mumbai,13986000
2795,5,4,1,0,Mumbai,52460000
2224,3,3,2,2,Bengaluru,24254000
2404,4,3,2,1,Bengaluru,26394000
2196,3,2,2,1,Mumbai,41501000
2161,4,4,1,2,Bengaluru,24328000
771,2,1,3,1,Nashik,5109000
2178,3,2,1,2,Mumbai,41309000
2885,4,4,1,1,Pune,27230000
1412,2,1,3,2,Mumbai,26962000
2309,4,3,3,1,Mumbai,44253000
592,1,1,1,0,Pune,5750000
1542,2,1,2,2,Pune,14367000
1810,2,1,3,1,Bengaluru,19624000
3449,5,4,3,1,Mumbai,65110000
1143,1,1,3,0,Nashik,6565000
1329,2,1,2,0,Pune,12765000
1725,2,2,2,1,Pune,15500000
3478,5,4,3,0,Hyderabad,28581000
3061,5,4,1,2,Nashik,17958000
604,1,1,1,2,Pune,5993000
1202,2,2,2,2,Pune,11753000
2965,5,4,3,2,Pune,27976000
674,1,1,1,1,Bengaluru,7294000
3067,5,4,2,0,Mumbai,57741000
1344,3,3,2,1,Pune,14038000
3253,5,4,2,1,Pune,31001000
1381,2,1,3,2,Bengaluru,15207000
1803,3,2,1,0,Nashik,10474000
2486,4,4,3,1,Bengaluru,27223000
878,1,1,2,1,Bengaluru,9203000
2171,4,4,3,0,Pune,20924000
2015,4,4,2,0,Pune,19278000
2852,4,3,1,1,Pune,26471000
3489,5,4,3,0,Hyderabad,28617000
2493,3,2,3,0,Hyderabad,20257000
1727,3,2,1,1,Nashik,10372000
1719,2,1,3,0,Nashik,9887000
1754,2,2,3,1,Nashik,10424000
2942,5,4,2,0,Nashik,17130000
1463,2,1,3,0,Pune,13849000
1001,2,2,2,1,Pune,9758000
1503,2,2,2,2,Mumbai,28812000
568,1,1,1,1,Bengaluru,6477000
818,2,1,3,2,Pune,8109000
770,2,1,1,1,Hyderabad,6846000
2815,4,4,3,1,Bengaluru,30891000
2667,4,3,2,1,Bengaluru,29173000
2591,4,3,2,2,Pune,24488000
1886,3,2,1,2,Pune,18264000
2651,5,4,3,2,Pune,25935000
983,1,1,1,2,Hyderabad,8258000
3202,5,4,2,1,Bengaluru,35108000
2003,3,2,3,1,Hyderabad,17406000
3315,5,4,3,2,Pune,31818000
957,2,1,3,0,Mumbai,18119000
1992,3,3,3,1,Mumbai,37724000
2589,4,4,2,2,Hyderabad,22489000
1987,3,3,1,1,Hyderabad,16538000
1838,2,1,3,0,Pune,16492000
998,1,1,3,1,Nashik,5868000
1643,3,2,3,0,Pune,15821000
1216,2,1,2,2,Nashik,7454000
1404,3,3,1,2,Pune,13821000
2551,4,4,2,0,Pune,23915000
2391,4,4,2,1,Hyderabad,20304000
2322,4,3,3,2,Pune,22117000
1585,3,2,2,2,Mumbai,31050000
3380,5,4,1,0,Mumbai,63564000
763,1,1,1,1,Pune,7507000
1528,2,1,3,1,Hyderabad,12688000
854,1,1,3,1,Hyderabad,7359000
1517,3,3,1,0,Hyderabad,12949000
3386,5,4,2,0,Mumbai,63035000
1599,2,2,2,2,Bengaluru,17245000
3226,5,4,2,0,Pune,29718000
1985,4,3,3,0,Pune,18610000
2599,4,3,1,0,Pune,23893000
1872,2,1,1,0,Nashik,10691000
1297,1,1,1,0,Nashik,7124000
2793,5,4,1,1,Hyderabad,24070000
3408,5,4,3,2,Bengaluru,37333000
1290,1,1,3,0,Bengaluru,13946000
2837,4,3,1,0,Bengaluru,30245000
1283,2,2,2,0,Bengaluru,14261000
2651,5,4,1,1,Mumbai,50700000
2867,5,4,1,0,Pune,26875000
1848,3,3,1,2,Pune,17898000
2711,5,4,1,1,Nashik,16497000
1316,2,1,2,2,Bengaluru,14423000
737,2,2,3,1,Nashik,4954000
789,1,1,2,1,Pune,7310000
1841,2,1,3,2,Bengaluru,19932000
3208,5,4,2,1,Pune,30250000
882,1,1,1,2,Pune,8249000
1867,2,1,1,2,Pune,17176000
2612,4,4,1,1,Pune,24795000
1107,2,1,1,2,Nashik,6990000
2665,4,3,3,0,Mumbai,50658000
1418,2,2,3,2,Bengaluru,16199000
2926,5,4,3,2,Mumbai,55568000
2238,3,2,2,2,Mumbai,42655000
2141,4,3,2,0,Bengaluru,23477000
1030,2,2,2,2,Pune,10616000
1890,3,3,2,1,Nashik,11467000
3070,4,4,3,0,Hyderabad,25422000
558,1,1,3,0,Hyderabad,4583000
2776,4,4,3,1,Mumbai,52575000
1978,4,3,2,0,Pune,18623000
2659,4,3,1,0,Nashik,15637000
2490,3,2,3,1,Mumbai,47099000
1796,2,2,2,1,Pune,16517000
1426,3,3,3,0,Mumbai,27693000
2382,3,2,2,2,Hyderabad,19634000
920,2,2,3,2,Bengaluru,10743000
2252,3,2,2,1,Hyderabad,18884000
784,1,1,3,2,Hyderabad,7020000
2450,3,3,3,1,Pune,23360000
2386,4,4,1,0,Nashik,14109000
753,1,1,2,0,Mumbai,14554000
2773,4,4,2,2,Bengaluru,30454000
1747,3,3,3,2,Pune,17298000
2861,5,4,3,2,Nashik,17343000
624,1,1,3,0,Pune,6142000
1038,2,1,2,0,Pune,9894000
1982,3,2,2,0,Mumbai,37117000
1064,2,1,2,0,Pune,10310000
1489,2,2,3,0,Pune,14219000
2482,4,4,1,1,Bengaluru,27418000
933,2,1,2,0,Mumbai,18278000
2533,4,4,1,2,Nashik,15627000
810,2,2,3,1,Mumbai,16036000
1025,2,1,2,0,Hyderabad,8881000
2263,4,3,2,1,Mumbai,42928000
2881,5,4,2,2,Bengaluru,31866000
1011,1,1,2,0,Bengaluru,10710000
1400,2,2,3,0,Mumbai,27005000
3276,5,4,2,0,Nashik,19221000
3470,5,4,2,2,Mumbai,65455000
2243,3,2,1,0,Pune,20914000
1841,2,1,1,1,Bengaluru,19017000
1540,2,1,2,1,Hyderabad,12296000
2337,4,4,3,2,Pune,22863000
2273,4,4,3,0,Mumbai,43429000
1384,3,3,2,2,Nashik,9133000
568,1,1,2,2,Hyderabad,4978000
954,1,1,2,1,Nashik,5664000
3376,5,4,1,0,Bengaluru,36911000
1754,2,1,1,2,Bengaluru,19046000
1947,2,1,2,0,Mumbai,36188000
1901,3,2,1,1,Nashik,11095000
2848,5,4,1,1,Mumbai,53965000
694,2,1,1,0,Hyderabad,5673000
748,1,1,1,1,Mumbai,14328000
1327,2,2,2,0,Bengaluru,14781000
1960,4,3,3,0,Hyderabad,16606000
2514,3,3,3,0,Bengaluru,26925000
1972,3,3,2,0,Nashik,11421000
1823,2,1,2,1,Mumbai,33823000
3314,5,4,1,2,Bengaluru,36103000
983,2,2,1,0,Mumbai,18373000
2215,3,3,2,0,Mumbai,41874000
2127,4,4,2,0,Mumbai,40874000
1920,3,3,1,1,Pune,18157000
2923,5,4,2,0,Pune,26975000
1301,3,2,1,1,Bengaluru,14461000
3362,5,4,1,0,Bengaluru,36578000
1495,3,2,3,0,Bengaluru,16006000
2135,3,2,2,1,Pune,19861000
2062,4,3,2,1,Mumbai,39171000
3050,5,4,3,1,Pune,29126000
1817,3,3,3,2,Hyderabad,15709000
1353,3,3,3,1,Hyderabad,12348000
564,1,1,2,2,Pune,5985000
